NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	0.000000	0.000000	NA	NA	NA	NA	NA	1.000000	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000	1.000000	1.000000	1.000000	NA	0.000000	1.000000	0.000000	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000000	1.000000	1.000000	3.000000	1.000000	1.000000	0.000000	0.000000	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	1.000000	1.000000	2.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	2.000000	2.000000	4.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	2.000000	1.000000	NA	NA	NA	NA
NA	NA	NA	NA	NA	6.000000	6.000000	4.000000	4.000000	0.000000	0.000000	1.000000	2.000000	1.000000	4.000000	6.000000	2.000000	NA	NA	NA	NA	NA
NA	NA	NA	NA	5.000000	5.000000	6.000000	5.000000	4.000000	3.000000	1.000000	2.000000	2.000000	3.000000	3.000000	2.000000	2.000000	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	5.000000	5.000000	3.000000	3.000000	3.000000	2.000000	2.000000	3.000000	3.000000	2.000000	3.000000	2.000000	2.000000	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	4.000000	1.000000	1.000000	1.000000	1.000000	3.000000	2.000000	NA	2.000000	2.000000	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	1.000000	1.000000	1.000000	2.000000	3.000000	2.000000	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	2.000000	1.000000	3.000000	1.000000	2.000000	2.000000	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
