Generation	Frequency	Density
20.209154	0.030755	0.000000
20.209154	0.041367	0.175584
20.209154	0.055427	0.132954
20.209154	0.073891	0.000000
20.209154	0.097857	0.000000
20.209154	0.128499	0.000000
20.209154	0.166935	0.000000
20.209154	0.214010	0.000000
20.209154	0.270014	0.035195
20.209154	0.334393	0.000000
20.209154	0.405554	0.000000
20.209154	0.480892	0.000000
20.209154	0.557104	0.000000
20.209154	0.630733	0.000000
20.209154	0.698769	0.000000
20.209154	0.759093	0.000000
20.209154	0.810642	0.000000
20.209154	0.853319	0.000000
20.209154	0.887730	0.000000
20.209154	0.914887	0.000000
20.209154	0.935957	0.000000
20.209154	0.952090	0.000000
20.209154	0.964317	0.000000
20.209154	0.973512	0.000000
20.209154	0.980387	0.000000
20.209154	0.985505	0.000000
20.209154	0.989302	0.000000
20.209154	0.992112	0.000000
20.209154	0.994189	0.000000
20.209154	0.995721	0.000000
20.209154	0.996851	0.000000
20.209154	0.997683	0.000000
20.209154	0.998296	0.000000
20.209154	0.998746	0.000000
20.209154	0.999078	0.000000
20.209154	0.999322	0.000000
20.209154	0.999502	0.000000
20.209154	0.999634	0.000000
20.209154	0.999731	0.000000
20.209154	0.999802	0.000000
20.209154	0.999854	0.000000
20.209154	0.999893	0.000000
20.209154	0.999921	0.000000
20.209154	0.999942	0.000000
20.209154	0.999957	0.000000
20.209154	0.999969	0.000000
20.209154	0.999977	0.000000
20.209154	0.999983	0.000000
20.209154	0.999988	0.000000
20.209154	0.999991	0.000000
20.209154	0.999993	0.000000
20.209154	0.999995	0.000000
20.209154	0.999996	0.000000
20.209154	0.999997	0.000000
20.209154	0.999999	0.000000
30.216413	0.000008	0.000000
30.216413	0.000020	0.000000
30.216413	0.000027	0.000000
30.216413	0.000036	0.000000
30.216413	0.000050	0.000000
30.216413	0.000067	0.000000
30.216413	0.000092	0.000000
30.216413	0.000125	0.000000
30.216413	0.000170	0.000000
30.216413	0.000231	0.000000
30.216413	0.000314	0.000000
30.216413	0.000427	0.000000
30.216413	0.000581	0.000000
30.216413	0.000790	0.000000
30.216413	0.001075	81.176626
30.216413	0.001462	0.000000
30.216413	0.001987	3.380828
30.216413	0.002701	2.488951
30.216413	0.003671	0.916646
30.216413	0.004987	1.351298
30.216413	0.006771	0.000000
30.216413	0.009187	0.368246
30.216413	0.012455	0.000000
30.216413	0.016865	0.606401
30.216413	0.022799	0.000000
30.216413	0.030755	0.224790
30.216413	0.041367	0.000000
30.216413	0.055427	0.000000
30.216413	0.073891	0.000000
30.216413	0.097857	0.000000
30.216413	0.128499	0.029860
30.216413	0.166935	0.000000
30.216413	0.214010	0.000000
30.216413	0.270014	0.000000
30.216413	0.334393	0.000000
30.216413	0.405554	0.000000
30.216413	0.480892	0.000000
30.216413	0.557104	0.000000
30.216413	0.630733	0.000000
30.216413	0.698769	0.000000
30.216413	0.759093	0.000000
30.216413	0.810642	0.000000
30.216413	0.853319	0.000000
30.216413	0.887730	0.000000
30.216413	0.914887	0.000000
30.216413	0.935957	0.000000
30.216413	0.952090	0.000000
30.216413	0.964317	0.000000
30.216413	0.973512	0.000000
30.216413	0.980387	0.000000
30.216413	0.985505	0.000000
30.216413	0.989302	0.000000
30.216413	0.992112	0.000000
30.216413	0.994189	0.000000
30.216413	0.995721	0.000000
30.216413	0.996851	0.000000
30.216413	0.997683	0.000000
30.216413	0.998296	0.000000
30.216413	0.998746	0.000000
30.216413	0.999078	0.000000
30.216413	0.999322	0.000000
30.216413	0.999502	0.000000
30.216413	0.999634	0.000000
30.216413	0.999731	0.000000
30.216413	0.999802	0.000000
