NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
434	1	-1	-1	22.579157	5	0	0	1.293649	1.000000	1	0	0
434	1	-1	-1	22.579157	6	0	0	1.163890	1.000000	1	0	0
434	1	-1	-1	22.579157	7	0	1	1.097103	1.000000	1	0	0
434	1	-1	-1	22.579157	10	0	4	1.025323	1.000000	1	0	0
434	1	-1	-1	22.579157	15	0	1	1.460206	1.000000	1	0	1
434	1	-1	-1	22.579157	18	0	5	1.379974	1.000000	1	0	0
434	1	-1	-1	22.579157	35	0	1	1.043911	1.000000	1	0	0
434	1	-1	-1	22.579157	42	0	1	1.023390	1.000000	1	0	0
434	1	-1	-1	22.579157	59	0	3	1.123817	1.000000	1	0	0
476	1	-1	-1	23.579168	0	0	401	1.000000	1.000000	0	0	0
476	1	-1	-1	23.579168	4	0	11	1.014719	1.000000	1	0	0
476	1	-1	-1	23.579168	5	0	0	1.293649	1.000000	1	0	0
476	1	-1	-1	23.579168	6	0	0	1.163890	1.000000	1	0	0
476	1	-1	-1	23.579168	7	0	1	1.097103	1.000000	1	0	0
476	1	-1	-1	23.579168	10	0	3	1.025323	1.000000	1	0	0
476	1	-1	-1	23.579168	15	0	1	1.460206	1.000000	1	0	1
476	1	-1	-1	23.579168	18	0	5	1.379974	1.000000	1	0	0
476	1	-1	-1	23.579168	27	0	0	1.043487	1.000000	1	0	1
476	1	-1	-1	23.579168	35	0	1	1.043911	1.000000	1	0	0
476	1	-1	-1	23.579168	42	0	1	1.023390	1.000000	1	0	0
476	1	-1	-1	23.579168	59	0	6	1.123817	1.000000	1	0	0
523	1	-1	-1	24.580208	0	0	437	1.000000	1.000000	0	0	0
523	1	-1	-1	24.580208	4	0	10	1.014719	1.000000	1	0	0
523	1	-1	-1	24.580208	5	0	0	1.293649	1.000000	1	0	0
523	1	-1	-1	24.580208	6	0	0	1.163890	1.000000	1	0	0
523	1	-1	-1	24.580208	7	0	1	1.097103	1.000000	1	0	0
523	1	-1	-1	24.580208	10	0	3	1.025323	1.000000	1	0	0
523	1	-1	-1	24.580208	15	0	1	1.460206	1.000000	1	0	1
523	1	-1	-1	24.580208	18	0	5	1.379974	1.000000	1	0	0
523	1	-1	-1	24.580208	27	0	0	1.043487	1.000000	1	0	1
523	1	-1	-1	24.580208	35	0	1	1.043911	1.000000	1	0	0
523	1	-1	-1	24.580208	42	0	1	1.023390	1.000000	1	0	0
523	1	-1	-1	24.580208	59	0	9	1.123817	1.000000	1	0	0
523	1	-1	-1	24.580208	62	59	2	1.195308	1.000000	2	0	0
562	1	-1	-1	25.586433	0	0	468	1.000000	1.000000	0	0	0
562	1	-1	-1	25.586433	4	0	10	1.014719	1.000000	1	0	0
562	1	-1	-1	25.586433	5	0	0	1.293649	1.000000	1	0	0
562	1	-1	-1	25.586433	6	0	0	1.163890	1.000000	1	0	0
562	1	-1	-1	25.586433	7	0	1	1.097103	1.000000	1	0	0
562	1	-1	-1	25.586433	10	0	3	1.025323	1.000000	1	0	0
562	1	-1	-1	25.586433	15	0	1	1.460206	1.000000	1	0	1
562	1	-1	-1	25.586433	18	0	4	1.379974	1.000000	1	0	0
562	1	-1	-1	25.586433	27	0	0	1.043487	1.000000	1	0	1
562	1	-1	-1	25.586433	33	0	1	1.065711	1.000000	1	0	0
562	1	-1	-1	25.586433	35	0	1	1.043911	1.000000	1	0	0
562	1	-1	-1	25.586433	42	0	1	1.023390	1.000000	1	0	0
562	1	-1	-1	25.586433	59	0	10	1.123817	1.000000	1	0	0
562	1	-1	-1	25.586433	62	59	2	1.195308	1.000000	2	0	0
562	1	-1	-1	25.586433	78	62	1	1.237116	1.000000	3	0	0
618	1	-1	-1	26.589226	0	0	512	1.000000	1.000000	0	0	0
618	1	-1	-1	26.589226	4	0	9	1.014719	1.000000	1	0	0
618	1	-1	-1	26.589226	5	0	0	1.293649	1.000000	1	0	0
618	1	-1	-1	26.589226	6	0	0	1.163890	1.000000	1	0	0
618	1	-1	-1	26.589226	7	0	1	1.097103	1.000000	1	0	0
618	1	-1	-1	26.589226	10	0	3	1.025323	1.000000	1	0	0
618	1	-1	-1	26.589226	15	0	1	1.460206	1.000000	1	0	1
618	1	-1	-1	26.589226	18	0	4	1.379974	1.000000	1	0	0
618	1	-1	-1	26.589226	27	0	0	1.043487	1.000000	1	0	1
618	1	-1	-1	26.589226	33	0	1	1.065711	1.000000	1	0	0
618	1	-1	-1	26.589226	35	0	1	1.043911	1.000000	1	0	0
618	1	-1	-1	26.589226	42	0	1	1.023390	1.000000	1	0	0
618	1	-1	-1	26.589226	59	0	12	1.123817	1.000000	1	0	0
618	1	-1	-1	26.589226	62	59	2	1.195308	1.000000	2	0	0
618	1	-1	-1	26.589226	70	0	1	1.020289	1.000000	1	0	0
618	1	-1	-1	26.589226	78	62	1	1.237116	1.000000	3	0	0
618	1	-1	-1	26.589226	84	0	0	1.057182	1.000000	1	0	0
676	1	-1	-1	27.589579	0	0	561	1.000000	1.000000	0	0	0
676	1	-1	-1	27.589579	4	0	9	1.014719	1.000000	1	0	0
676	1	-1	-1	27.589579	5	0	0	1.293649	1.000000	1	0	0
676	1	-1	-1	27.589579	6	0	0	1.163890	1.000000	1	0	0
676	1	-1	-1	27.589579	7	0	1	1.097103	1.000000	1	0	0
676	1	-1	-1	27.589579	10	0	3	1.025323	1.000000	1	0	0
676	1	-1	-1	27.589579	15	0	1	1.460206	1.000000	1	0	1
676	1	-1	-1	27.589579	18	0	4	1.379974	1.000000	1	0	0
676	1	-1	-1	27.589579	27	0	0	1.043487	1.000000	1	0	1
676	1	-1	-1	27.589579	33	0	1	1.065711	1.000000	1	0	0
676	1	-1	-1	27.589579	35	0	1	1.043911	1.000000	1	0	0
676	1	-1	-1	27.589579	42	0	1	1.023390	1.000000	1	0	0
676	1	-1	-1	27.589579	59	0	14	1.123817	1.000000	1	0	0
676	1	-1	-1	27.589579	62	59	2	1.195308	1.000000	2	0	0
676	1	-1	-1	27.589579	70	0	1	1.020289	1.000000	1	0	0
676	1	-1	-1	27.589579	78	62	1	1.237116	1.000000	3	0	0
676	1	-1	-1	27.589579	84	0	0	1.057182	1.000000	1	0	0
676	1	-1	-1	27.589579	85	0	0	1.040446	1.000000	1	0	1
676	1	-1	-1	27.589579	105	0	0	1.019006	1.000000	1	0	0
727	1	-1	-1	28.590405	0	0	602	1.000000	1.000000	0	0	0
727	1	-1	-1	28.590405	4	0	9	1.014719	1.000000	1	0	0
727	1	-1	-1	28.590405	5	0	0	1.293649	1.000000	1	0	0
727	1	-1	-1	28.590405	6	0	0	1.163890	1.000000	1	0	0
727	1	-1	-1	28.590405	7	0	1	1.097103	1.000000	1	0	0
727	1	-1	-1	28.590405	8	0	0	1.317946	1.000000	1	0	0
727	1	-1	-1	28.590405	10	0	3	1.025323	1.000000	1	0	0
727	1	-1	-1	28.590405	15	0	1	1.460206	1.000000	1	0	1
727	1	-1	-1	28.590405	18	0	4	1.379974	1.000000	1	0	0
727	1	-1	-1	28.590405	27	0	0	1.043487	1.000000	1	0	1
727	1	-1	-1	28.590405	33	0	1	1.065711	1.000000	1	0	0
727	1	-1	-1	28.590405	35	0	2	1.043911	1.000000	1	0	0
727	1	-1	-1	28.590405	42	0	1	1.023390	1.000000	1	0	0
727	1	-1	-1	28.590405	49	0	9	1.141958	1.000000	1	0	0
727	1	-1	-1	28.590405	59	0	16	1.123817	1.000000	1	0	0
727	1	-1	-1	28.590405	62	59	1	1.195308	1.000000	2	0	0
727	1	-1	-1	28.590405	70	0	1	1.020289	1.000000	1	0	0
727	1	-1	-1	28.590405	78	62	1	1.237116	1.000000	3	0	0
727	1	-1	-1	28.590405	84	0	0	1.057182	1.000000	1	0	0
727	1	-1	-1	28.590405	85	0	0	1.040446	1.000000	1	0	1
727	1	-1	-1	28.590405	94	0	1	1.141503	1.000000	1	0	0
727	1	-1	-1	28.590405	105	0	0	1.019006	1.000000	1	0	0
727	1	-1	-1	28.590405	123	0	1	1.302532	1.000000	1	0	0
782	1	-1	-1	29.590883	0	0	639	1.000000	1.000000	0	0	0
782	1	-1	-1	29.590883	4	0	9	1.014719	1.000000	1	0	0
782	1	-1	-1	29.590883	5	0	0	1.293649	1.000000	1	0	0
782	1	-1	-1	29.590883	6	0	0	1.163890	1.000000	1	0	0
