NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
357	1	-1	-1	20.578394	89	25	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	90	22	0	1.000352	1.000000	1	0	2
357	1	-1	-1	20.578394	91	21	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	95	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	97	8	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	104	34	0	1.446964	1.000000	1	0	3
357	1	-1	-1	20.578394	107	78	0	1.143454	1.000000	1	0	3
357	1	-1	-1	20.578394	108	83	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	109	26	7	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	111	26	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	112	50	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	115	33	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	116	8	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	117	27	0	1.277686	1.000000	2	0	0
357	1	-1	-1	20.578394	123	66	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	124	66	5	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	131	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	134	104	0	1.446964	1.000000	1	0	4
357	1	-1	-1	20.578394	136	26	4	1.116836	1.000000	1	0	2
357	1	-1	-1	20.578394	137	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	138	81	2	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	141	57	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	140	4	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	148	15	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	143	67	4	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	149	134	0	1.446964	1.000000	1	0	5
357	1	-1	-1	20.578394	150	8	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	153	88	7	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	152	22	1	1.000352	1.000000	1	0	3
357	1	-1	-1	20.578394	156	56	3	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	157	4	1	1.043606	1.000000	1	0	1
357	1	-1	-1	20.578394	159	26	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	160	4	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	168	116	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	172	42	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	173	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	176	4	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	179	137	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	181	143	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	182	44	0	1.241494	1.000000	2	0	1
357	1	-1	-1	20.578394	186	4	2	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	184	4	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	187	4	5	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	189	52	0	1.050003	1.000000	1	0	1
357	1	-1	-1	20.578394	190	117	0	1.277686	1.000000	2	0	1
357	1	-1	-1	20.578394	192	173	0	1.054113	1.000000	1	0	2
