NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	1.082298	1.082298	NA	NA	NA	NA	NA	1.204886	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	1.082298	1.118815	1.000000	1.000000	NA	1.204886	1.204886	1.058411	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	1.082298	1.100410	1.000000	1.174303	1.011160	1.011160	1.000000	1.000000	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	1.082298	1.082298	1.000000	1.164214	1.000000	1.334717	1.070609	1.000000	1.000000	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	1.000000	1.135209	1.083145	1.082298	1.110304	1.035118	1.000000	1.991733	1.165948	1.000000	1.000000	1.000000	NA	NA	NA	NA	
NA	NA	NA	NA	NA	1.148493	1.148493	1.000000	1.000000	1.186906	1.000000	1.000000	1.000000	1.727522	1.093155	1.048872	1.030591	NA	NA	NA	NA	NA	
NA	NA	NA	NA	1.258097	1.418536	1.148493	1.148493	1.000000	1.247286	1.000000	1.234726	1.000000	1.037082	1.164723	1.037082	1.046861	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	1.258097	1.148493	1.007415	1.321622	1.305546	1.095851	1.000000	1.157582	1.158388	1.037082	1.037082	1.046861	1.037082	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	1.007415	1.143447	1.082360	1.000008	1.000000	1.364563	1.045451	NA	1.037082	1.037082	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	1.001491	1.025822	1.078157	1.000000	1.252463	1.045451	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	1.089870	1.082391	1.327496	1.160035	1.045451	1.045451	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
