NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA	NA	83	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	10	99	0	0	NA	83	83	81	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	10	85	0	95	26	26	0	0	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	10	10	0	39	0	30	100	0	0	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	0	90	20	10	55	5	0	70	54	0	0	0	NA	NA	NA	NA	
NA	NA	NA	NA	NA	32	32	0	0	21	0	0	0	96	61	84	82	NA	NA	NA	NA	NA	
NA	NA	NA	NA	74	98	32	32	0	68	0	58	0	7	25	7	67	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	74	32	29	87	73	38	0	53	50	7	7	67	7	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	29	93	89	56	0	78	14	NA	7	7	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	71	72	41	0	44	14	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	79	80	91	76	14	14	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
