Generation	Population	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
99.391617	9791	83388	81619	83388	1.584210	0.000000	1.286518	0.000000	1.000000	1.000000	0.000000	0.000000	9758	851	1	9736	9736	9791	0	0	0	0	0	0	0	0	0	0
100.391647	9997	3822	3752	3822	1.605382	0.000000	1.288008	0.000000	1.000000	1.000000	0.000000	0.000000	9973	853	1	9945	9945	9997	0	0	0	0	0	0	0	0	0	0
101.391655	10196	14006	13737	14006	1.627501	0.000000	1.290432	0.000000	1.000000	1.000000	0.000000	0.000000	10176	887	1	10150	10150	10196	0	0	0	0	0	0	0	0	0	0
102.391678	10375	24405	23957	24405	1.644819	0.000000	1.310475	0.000000	1.000000	1.000000	0.000000	0.000000	10338	918	1	10319	10319	10375	0	0	0	0	0	0	0	0	0	0
103.391708	10582	34939	34284	34939	1.667360	0.000000	1.340309	0.000000	1.000000	1.000000	0.000000	0.000000	10560	927	1	10531	10531	10582	0	0	0	0	0	0	0	0	0	0
104.391808	10805	46024	45146	46024	1.687089	0.000000	1.350582	0.000000	1.000000	1.000000	0.000000	0.000000	10779	962	1	10753	10753	10805	0	0	0	0	0	0	0	0	0	0
105.391945	11023	57105	56009	57105	1.707974	0.000000	1.342731	0.000000	1.000000	1.000000	0.000000	0.000000	10991	991	1	10976	10976	11023	0	0	0	0	0	0	0	0	0	0
106.391998	11231	67986	66682	67986	1.730122	0.000000	1.345119	0.000000	1.000000	1.000000	0.000000	0.000000	11200	1007	1	11179	11179	11231	0	0	0	0	0	0	0	0	0	0
107.392014	11472	79225	77680	79225	1.757758	0.000000	1.359289	0.000000	1.000000	1.000000	0.000000	0.000000	11438	1035	1	11402	11402	11472	0	0	0	0	0	0	0	0	0	0
108.392014	11688	90861	89100	90861	1.770106	0.000000	1.372970	0.000000	1.000000	1.000000	0.000000	0.000000	11660	1039	1	11636	11636	11688	0	0	0	0	0	0	0	0	0	0
109.392021	11917	102804	100814	102804	1.800705	0.000084	1.423821	0.000084	1.000001	1.000000	0.000000	0.000000	11896	1057	2	11866	11866	11916	1	0	0	0	0	0	0	0	0	0
110.392044	12138	4817	4726	4817	1.816279	0.000165	1.443426	0.000165	1.000002	1.000000	0.000000	0.000000	12113	1078	2	12084	12084	12136	2	0	0	0	0	0	0	0	0	0
111.392082	12398	17226	16875	17226	1.825052	0.000242	1.452783	0.000242	1.000002	1.000000	0.000000	0.000000	12358	1108	3	12328	12328	12395	3	0	0	0	0	0	0	0	0	0
112.392105	12600	29732	29179	29732	1.856905	0.000238	1.481821	0.000238	1.000001	1.000000	0.000000	0.000000	12566	1127	2	12541	12541	12597	3	0	0	0	0	0	0	0	0	0
113.392258	12821	42403	41629	42403	1.868263	0.000156	1.482148	0.000156	1.000001	1.000000	0.000000	0.000000	12784	1166	2	12765	12765	12819	2	0	0	0	0	0	0	0	0	0
114.392281	13111	55488	54424	55488	1.895736	0.000076	1.487338	0.000076	1.000000	1.000000	0.000000	0.000000	13065	1199	2	13031	13031	13110	1	0	0	0	0	0	0	0	0	0
115.392403	13358	68741	67430	68741	1.916080	0.000000	1.485922	0.000000	1.000000	1.000000	0.000000	0.000000	13318	1223	1	13281	13281	13358	0	0	0	0	0	0	0	0	0	0
116.392418	13551	82094	80590	82094	1.928566	0.000000	1.500476	0.000000	1.000000	1.000000	0.000000	0.000000	13513	1247	1	13494	13494	13551	0	0	0	0	0	0	0	0	0	0
117.392433	13791	95673	93929	95673	1.954391	0.000000	1.528988	0.000000	1.000000	1.000000	0.000000	0.000000	13755	1267	1	13732	13732	13791	0	0	0	0	0	0	0	0	0	0
118.392464	14040	109563	107570	109563	1.969516	0.000000	1.543226	0.000000	1.000000	1.000000	0.000000	0.000000	13983	1267	1	13958	13958	14040	0	0	0	0	0	0	0	0	0	0
119.392494	14287	123785	121545	123785	1.978792	0.000070	1.548863	0.000070	1.000006	1.000000	0.000001	0.000000	14243	1316	2	14206	14206	14286	1	0	0	0	0	0	0	0	0	0
120.392509	14516	5549	5455	5549	1.996073	0.000000	1.571552	0.000000	1.000000	1.000000	0.000000	0.000000	14475	1340	1	14443	14443	14516	0	0	0	0	0	0	0	0	0	0
121.392540	14754	20353	20021	20353	2.010980	0.000000	1.571386	0.000000	1.000000	1.000000	0.000000	0.000000	14713	1361	1	14690	14690	14754	0	0	0	0	0	0	0	0	0	0
122.392586	15043	35273	34652	35273	2.020674	0.000000	1.585888	0.000000	1.000000	1.000000	0.000000	0.000000	15013	1381	1	14979	14979	15043	0	0	0	0	0	0	0	0	0	0
123.392586	15275	50201	49348	50201	2.034763	0.000131	1.591126	0.000131	1.000007	1.000000	0.000000	0.000000	15234	1398	2	15203	15203	15273	2	0	0	0	0	0	0	0	0	0
124.392601	15519	65588	64491	65588	2.059347	0.000129	1.600768	0.000129	1.000007	1.000000	0.000000	0.000000	15477	1425	2	15442	15442	15517	2	0	0	0	0	0	0	0	0	0
125.392616	15789	81112	79745	81112	2.082526	0.000190	1.600945	0.000190	1.000010	1.000000	0.000001	0.000000	15747	1431	2	15702	15702	15786	3	0	0	0	0	0	0	0	0	0
126.392693	16048	97010	95384	97010	2.103128	0.000125	1.608065	0.000125	1.000007	1.000000	0.000000	0.000000	15994	1458	2	15961	15961	16046	2	0	0	0	0	0	0	0	0	0
127.392700	16334	113160	111248	113160	2.119261	0.000061	1.623333	0.000061	1.000003	1.000000	0.000000	0.000000	16286	1511	2	16256	16256	16333	1	0	0	0	0	0	0	0	0	0
128.392746	16600	129694	127516	129694	2.142169	0.000120	1.647500	0.000120	1.000009	1.000000	0.000001	0.000000	16555	1565	3	16524	16524	16598	2	0	0	0	0	0	0	0	0	0
129.392944	16868	146465	144019	146465	2.164631	0.000178	1.671678	0.000178	1.000012	1.000000	0.000001	0.000000	16826	1597	3	16793	16793	16865	3	0	0	0	0	0	0	0	0	0
130.392944	17166	6406	6269	6406	2.180007	0.000350	1.683909	0.000349	1.000020	1.000000	0.000001	0.000000	17117	1599	4	17078	17078	17160	6	0	0	0	0	0	0	0	0	0
131.392944	17455	23732	23306	23732	2.197880	0.000401	1.678742	0.000401	1.000027	1.000000	0.000002	0.000000	17405	1624	4	17364	17364	17448	7	0	0	0	0	0	0	0	0	0
132.392944	17735	41533	40827	41533	2.222272	0.000395	1.713205	0.000395	1.000027	1.000000	0.000002	0.000000	17672	1645	3	17637	17637	17728	7	0	0	0	0	0	0	0	0	0
133.392960	17979	59529	58579	59529	2.237444	0.000334	1.685268	0.000334	1.000022	1.000000	0.000002	0.000000	17924	1678	3	17886	17886	17973	6	0	0	0	0	0	0	0	0	0
