NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1000	1	-1	-1	0.000000	0	0	1000	1.000000	1.000000	0.000000	0	0	0
1010	1	-1	-1	1.000792	0	0	1000	1.000000	1.000000	0.000000	0	0	0
1021	1	-1	-1	2.001053	0	0	988	1.000000	1.000000	0.000000	0	0	0
1023	1	-1	-1	3.001501	0	0	989	1.000000	1.000000	0.000000	0	0	0
1022	1	-1	-1	4.001615	0	0	972	1.000000	1.000000	0.000000	0	0	0
1029	1	-1	-1	5.001847	0	0	956	1.000000	1.000000	0.000000	0	0	0
1029	1	-1	-1	5.001847	24	0	9	1.025517	1.000000	1.201953	1	0	0
1032	1	-1	-1	6.002180	0	0	959	1.000000	1.000000	0.000000	0	0	0
1032	1	-1	-1	6.002180	19	0	4	1.012506	1.000000	0.946821	1	0	0
1032	1	-1	-1	6.002180	24	0	8	1.025517	1.000000	1.201953	1	0	0
1032	1	-1	-1	6.002180	37	0	1	1.011405	1.000000	1.842743	1	0	0
1027	1	-1	-1	7.002332	0	0	941	1.000000	1.000000	0.000000	0	0	0
1027	1	-1	-1	7.002332	19	0	4	1.012506	1.000000	0.946821	1	0	0
1027	1	-1	-1	7.002332	24	0	6	1.025517	1.000000	1.201953	1	0	0
1027	1	-1	-1	7.002332	87	0	1	1.016650	1.000000	5.086700	1	0	0
1027	1	-1	-1	7.002332	37	0	1	1.011405	1.000000	1.842743	1	0	0
1033	1	-1	-1	8.002484	0	0	933	1.000000	1.000000	0.000000	0	0	0
1033	1	-1	-1	8.002484	19	0	7	1.012506	1.000000	0.946821	1	0	0
1033	1	-1	-1	8.002484	4	0	3	1.107962	1.000000	0.171981	1	0	0
1033	1	-1	-1	8.002484	24	0	3	1.025517	1.000000	1.201953	1	0	0
1033	1	-1	-1	8.002484	87	0	1	1.016650	1.000000	5.086700	1	0	0
1033	1	-1	-1	8.002484	37	0	1	1.011405	1.000000	1.842743	1	0	0
1030	1	-1	-1	9.002709	0	0	909	1.000000	1.000000	0.000000	0	0	0
1030	1	-1	-1	9.002709	19	0	6	1.012506	1.000000	0.946821	1	0	0
1030	1	-1	-1	9.002709	4	0	4	1.107962	1.000000	0.171981	1	0	0
1030	1	-1	-1	9.002709	24	0	3	1.025517	1.000000	1.201953	1	0	0
1030	1	-1	-1	9.002709	87	0	3	1.016650	1.000000	5.086700	1	0	0
1030	1	-1	-1	9.002709	37	0	0	1.011405	1.000000	1.842743	1	0	0
1030	1	-1	-1	9.002709	72	0	4	1.203044	1.000000	4.219216	1	0	0
1030	1	-1	-1	9.002709	98	0	4	1.055111	1.000000	5.409542	1	0	0
1029	1	-1	-1	10.001012	0	0	884	1.000000	1.000000	0.000000	0	0	0
1029	1	-1	-1	10.001012	19	0	6	1.012506	1.000000	0.946821	1	0	0
1029	1	-1	-1	10.001012	4	0	6	1.107962	1.000000	0.171981	1	0	0
1029	1	-1	-1	10.001012	23	0	5	1.043122	1.000000	1.040656	1	0	0
1029	1	-1	-1	10.001012	24	0	4	1.025517	1.000000	1.201953	1	0	0
1029	1	-1	-1	10.001012	87	0	2	1.016650	1.000000	5.086700	1	0	0
1029	1	-1	-1	10.001012	37	0	0	1.011405	1.000000	1.842743	1	0	0
1029	1	-1	-1	10.001012	128	0	1	1.013323	1.000000	6.948217	1	0	0
1029	1	-1	-1	10.001012	49	0	7	1.142387	1.000000	2.857918	1	0	0
1029	1	-1	-1	10.001012	72	0	6	1.203044	1.000000	4.219216	1	0	0
1029	1	-1	-1	10.001012	98	0	7	1.055111	1.000000	5.409542	1	0	0
