Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
890	0	0	0	0	1	0	1.000000	0.707107	0.000000	1060
1	0	1	1	0	1	0	1.057920	0.707107	0.052015	3
1	115	211	2	0	0	0	1.191213	0.707107	9.422640	1
4	0	4	1	0	1	0	1.034236	0.707107	0.258093	4
1	0	217	1	0	0	0	1.012511	0.707107	9.626125	1
3	0	87	1	0	0	0	1.138693	0.707107	4.100984	3
1	0	158	1	0	0	0	1.036733	0.707107	7.534238	1
2	0	178	1	0	0	0	1.003841	0.707107	8.217925	2
8	0	75	1	0	1	0	1.029965	0.707107	3.674491	8
1	0	161	1	0	0	0	1.042817	0.707107	7.755552	1
1	0	96	1	0	0	0	1.001701	0.707107	4.457678	1
6	0	147	1	0	0	1	1.214154	0.707107	6.816543	6
1	0	121	1	0	1	0	1.006956	0.707107	5.554334	3
13	0	16	1	0	1	0	1.065674	0.707107	0.595963	13
4	0	18	1	0	1	0	1.050223	0.707107	0.681867	6
10	0	27	1	0	1	0	1.200993	0.707107	1.401155	12
4	0	169	1	0	0	0	1.002156	0.707107	8.022913	4
9	0	101	1	0	1	0	1.025087	0.707107	4.660004	9
0	0	97	1	0	1	0	1.068977	0.707107	4.469622	2
1	0	112	1	0	1	0	1.027094	0.707107	5.104391	1
7	0	115	1	0	1	0	1.070434	0.707107	5.213964	8
3	0	177	1	0	0	0	1.175644	0.707107	8.199595	3
3	0	42	1	0	1	0	1.214778	0.707107	1.949910	4
1	0	58	1	0	1	0	1.130120	0.707107	2.620438	1
1	0	215	1	0	0	0	1.093136	0.707107	9.576939	1
1	0	197	1	0	0	0	1.103358	0.707107	8.926681	1
9	0	48	1	0	1	0	1.026968	0.707107	2.229193	9
3	0	133	1	0	0	0	1.003605	0.707107	6.143663	3
6	0	142	1	0	0	0	1.086072	0.707107	6.567482	6
5	0	66	1	0	0	0	1.001297	0.707107	3.079793	5
2	0	183	1	0	0	0	1.000137	0.707107	8.489509	2
7	0	67	1	0	0	0	1.078921	0.707107	3.084777	7
1	0	166	1	0	0	0	1.004110	0.707107	7.938649	1
3	0	95	1	0	0	0	1.012010	0.707107	4.449750	3
1	0	219	1	0	0	0	1.120675	0.707107	9.744741	1
1	0	122	1	0	0	0	1.258129	0.707107	5.554702	1
4	0	118	1	0	0	0	1.028432	0.707107	5.459411	4
7	0	153	1	0	1	0	1.129835	0.707107	7.077131	7
1	42	145	2	0	0	0	1.249257	0.707107	6.680822	1
3	0	126	1	0	1	0	1.127379	0.707107	5.804044	3
1	0	203	1	0	0	0	1.078683	0.707107	9.154120	1
2	0	143	1	0	0	1	1.052801	0.707107	6.582324	2
3	0	144	1	0	0	0	1.017344	0.707107	6.622251	3
1	0	168	1	0	0	0	1.042088	0.707107	8.019201	1
2	97	156	2	0	0	0	1.189743	0.707107	7.160888	2
1	0	170	1	0	0	0	1.018904	0.707107	8.032738	1
1	0	191	1	0	0	0	1.049792	0.707107	8.644086	1
2	1	204	2	0	0	0	1.372319	0.707107	9.163837	2
1	0	223	1	0	0	0	1.001552	0.707107	9.931425	1
1	0	196	1	0	0	0	1.012159	0.707107	8.860666	1
1	0	185	1	0	0	0	1.013768	0.707107	8.535644	1
1	18	187	2	0	0	0	1.064120	0.707107	8.556353	1
2	27	188	2	0	0	0	1.257458	0.707107	8.571368	2
1	121	192	2	0	0	0	1.025214	0.707107	8.669572	1
1	0	193	1	0	0	0	1.045558	0.707107	8.749805	1
1	0	206	1	0	0	0	1.031536	0.707107	9.311025	1
1	121	201	2	0	0	0	1.040237	0.707107	9.020263	1
1	0	214	1	0	0	0	1.069582	0.707107	9.562664	1
1	0	208	1	0	0	0	1.095288	0.707107	9.349939	1
1	0	213	1	0	0	0	1.071538	0.707107	9.436301	1
1	18	212	2	0	0	0	1.071905	0.707107	9.434921	1
1	0	218	1	0	0	0	1.028656	0.707107	9.636690	1
1	0	220	1	0	0	0	1.023528	0.707107	9.808370	1
1	0	224	1	0	0	0	1.029224	0.707107	9.934885	1
