Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
877	0	0	0	0	1	0	1.000000	1.000000	0.000000	1028
0	0	1	1	0	1	0	1.021382	1.000000	0.053459	3
2	0	22	1	0	0	0	1.069055	1.000000	0.861983	2
5	0	3	1	0	1	0	1.028328	1.000000	0.182043	13
4	0	4	1	0	1	0	1.005580	1.000000	0.186498	4
1	0	115	1	0	0	0	1.097036	1.000000	5.810978	1
3	0	7	1	0	0	0	1.002436	1.000000	0.294935	3
11	0	9	1	0	1	0	1.009350	1.000000	0.339325	11
3	0	162	1	0	0	0	1.037372	1.000000	7.966660	3
2	0	192	1	0	0	0	1.052368	1.000000	9.535448	2
7	0	46	1	0	1	0	1.011742	1.000000	2.326978	7
12	0	15	1	0	1	0	1.072143	1.000000	0.461164	12
0	0	20	1	0	1	0	1.008142	1.000000	0.656619	8
1	0	18	1	0	1	0	1.088829	1.000000	0.571558	2
2	0	133	1	0	0	0	1.077746	1.000000	6.252784	2
9	0	70	1	0	1	0	1.018757	1.000000	3.625012	9
1	0	96	1	0	0	1	1.143297	1.000000	4.896825	1
8	20	87	2	0	1	0	1.026308	1.000000	4.494597	8
6	3	42	2	0	1	0	1.042168	1.000000	1.949303	8
1	0	50	1	0	0	0	1.076843	1.000000	2.492829	1
2	0	181	1	0	0	0	1.004521	1.000000	8.651788	2
1	0	191	1	0	0	0	1.052521	1.000000	9.291037	1
2	0	157	1	0	0	0	1.030566	1.000000	7.551497	2
5	0	60	1	0	1	0	1.094172	1.000000	2.984697	5
3	1	62	2	0	0	0	1.036465	1.000000	3.027824	3
2	0	152	1	0	0	0	1.100271	1.000000	7.346403	2
6	0	118	1	0	0	0	1.029479	1.000000	5.963398	6
1	0	193	1	0	0	0	1.035808	1.000000	9.541119	1
3	0	159	1	0	0	0	1.041410	1.000000	7.662569	3
1	0	163	1	0	0	0	1.013768	1.000000	7.986604	1
1	0	74	1	0	0	0	1.015047	1.000000	3.929652	1
1	0	186	1	0	0	0	1.008361	1.000000	8.894980	1
1	0	116	1	0	0	0	1.124766	1.000000	5.850119	1
2	0	160	1	0	0	0	1.039029	1.000000	7.785728	2
3	0	126	1	0	0	1	1.052801	1.000000	6.082183	3
3	0	124	1	0	1	0	1.018351	1.000000	6.036741	3
1	0	125	1	0	0	0	1.013428	1.000000	6.036830	1
1	0	194	1	0	0	0	1.004565	1.000000	9.554898	1
1	0	146	1	0	0	0	1.020584	1.000000	7.005147	1
3	0	130	1	0	0	0	1.179412	1.000000	6.161073	3
1	0	164	1	0	0	0	1.065512	1.000000	8.118895	1
2	42	142	3	0	0	0	1.094867	1.000000	6.661632	2
3	0	143	1	0	0	0	1.020038	1.000000	6.683539	3
1	18	170	2	0	0	0	1.114267	1.000000	8.266741	1
3	0	147	1	0	1	0	1.000248	1.000000	7.024361	4
3	0	148	1	0	0	0	1.013627	1.000000	7.055418	3
1	0	155	1	0	0	0	1.036708	1.000000	7.480148	1
1	0	156	1	0	0	0	1.004702	1.000000	7.483643	1
2	0	158	1	0	0	0	1.043342	1.000000	7.560709	2
4	0	165	1	0	0	0	1.129748	1.000000	8.134603	4
1	0	171	1	0	0	0	1.077545	1.000000	8.331741	1
1	0	198	1	0	0	0	1.000511	1.000000	9.947878	1
2	0	173	1	0	0	0	1.088009	1.000000	8.403044	2
1	0	175	1	0	0	0	1.033283	1.000000	8.452090	1
1	0	189	1	0	0	0	1.012513	1.000000	9.182055	1
1	147	196	2	0	0	0	1.015542	1.000000	9.675876	1
2	0	180	1	0	0	0	1.018318	1.000000	8.593512	2
